Date,Open,High,Low,Close
2-August-2007,5839.67,5902.71,5804.62,5844.15,
3-August-2007,5872.60,5945.48,5872.60,5915.94,
6-August-2007,5831.97,5844.57,5754.78,5834.34,
7-August-2007,5879.09,5922.12,5845.97,5858.50,
8-August-2007,5900.71,5999.99,5900.71,5987.59,
9-August-2007,6031.12,6077.57,5884.53,5897.26,
10-August-2007,5769.28,5825.65,5693.23,5815.00,
13-August-2007,5848.38,5884.97,5825.25,5873.17,
14-August-2007,5891.57,5893.51,5854.95,5867.47,
16-August-2007,5733.62,5733.62,5619.81,5623.14,
17-August-2007,5604.59,5622.40,5398.55,5530.94,
20-August-2007,5647.51,5728.39,5633.70,5642.44,
21-August-2007,5669.90,5677.02,5441.00,5457.00,
22-August-2007,5481.29,5544.52,5390.71,5532.32,
23-August-2007,5597.79,5646.25,5475.69,5491.14,
24-August-2007,5515.35,5588.13,5488.17,5579.52,
27-August-2007,5632.05,5751.40,5632.05,5746.73,
28-August-2007,5755.30,5794.04,5723.07,5783.86,
29-August-2007,5708.21,5827.93,5667.39,5818.23,
30-August-2007,5871.01,5889.75,5843.59,5859.48,
31-August-2007,5867.89,5953.77,5867.89,5950.11,
3-September-2007,5975.41,6015.79,5961.64,6013.97,
4-September-2007,6034.70,6065.50,6012.82,6039.74,
5-September-2007,6062.13,6084.00,6022.59,6037.36,
6-September-2007,6016.81,6105.76,6007.12,6100.20,
7-September-2007,6115.78,6142.79,6075.38,6085.09,
10-September-2007,6035.58,6112.25,6019.40,6101.85,
11-September-2007,6131.00,6151.84,6078.51,6093.12,
12-September-2007,6113.58,6142.07,6093.52,6101.23,
13-September-2007,6117.95,6165.47,6117.95,6153.75,
14-September-2007,6186.62,6229.94,6125.24,6137.54,
17-September-2007,6156.12,6185.83,6102.63,6125.07,
18-September-2007,6136.33,6199.84,6117.21,6192.88,
19-September-2007,6274.51,6403.44,6274.51,6399.48,
20-September-2007,6408.55,6463.22,6386.94,6437.81,
21-September-2007,6442.58,6526.72,6435.35,6514.38,
24-September-2007,6559.28,6631.62,6533.14,6626.90,
25-September-2007,6652.93,6657.96,6544.18,6631.44,
26-September-2007,6656.15,6710.10,6635.86,6647.44,
27-September-2007,6691.26,6734.03,6678.30,6698.44,
28-September-2007,6708.28,6788.10,6708.28,6773.54,
1-October-2007,6792.93,6859.47,6746.65,6827.66,
3-October-2007,6877.96,7048.13,6759.87,6979.61,
4-October-2007,6972.42,6991.19,6865.33,6974.21,
5-October-2007,6992.67,7024.54,6904.41,6930.81,
8-October-2007,6972.23,7005.96,6687.36,6764.77,
9-October-2007,6730.34,7046.61,6668.79,7035.25,
10-October-2007,7091.95,7199.46,7091.95,7175.39,
11-October-2007,7198.61,7273.71,7152.89,7269.13,
12-October-2007,7251.17,7299.29,7110.86,7140.78,
15-October-2007,7173.14,7393.75,7173.14,7384.19,
16-October-2007,7404.13,7449.25,7315.59,7421.08,
17-October-2007,7049.98,7294.89,6778.46,7264.00,
18-October-2007,7309.94,7472.33,6917.04,7006.40,
19-October-2007,7009.33,7009.33,6686.63,6807.66,
22-October-2007,6692.50,6880.25,6655.49,6831.70,
23-October-2007,6917.01,7194.62,6917.01,7183.60,
24-October-2007,7265.11,7333.68,7147.14,7234.51,
25-October-2007,7241.35,7364.40,7223.41,7326.87,
26-October-2007,7355.00,7521.82,7296.29,7511.32,
29-October-2007,7630.50,7763.31,7630.50,7747.05,
30-October-2007,7794.16,7837.95,7685.05,7733.66,
31-October-2007,7757.80,7842.22,7731.12,7785.22,
1-November-2007,7880.34,7931.66,7675.88,7711.05,
2-November-2007,7589.93,7817.07,7540.02,7805.41,
5-November-2007,7821.26,7865.37,7711.24,7742.26,
6-November-2007,7788.31,7882.26,7634.20,7665.08,
7-November-2007,7732.81,7778.94,7587.14,7635.51,
8-November-2007,7560.33,7605.22,7496.58,7559.26,
9-November-2007,7623.88,7662.46,7481.39,7538.64,
12-November-2007,7448.02,7488.46,7296.63,7467.75,
13-November-2007,7463.78,7647.30,7455.55,7596.57,
14-November-2007,7705.64,7906.26,7705.64,7890.75,
15-November-2007,7913.43,7956.51,7882.84,7912.48,
16-November-2007,7864.24,7994.50,7829.76,7927.80,
19-November-2007,8012.01,8057.52,7986.20,7999.53,
20-November-2007,7958.97,8042.45,7814.47,7855.32,
21-November-2007,7844.63,7867.32,7479.85,7524.30,
22-November-2007,7586.21,7588.09,7300.00,7474.21,
23-November-2007,7559.28,7637.69,7480.85,7605.57,
26-November-2007,7723.99,7801.69,7712.37,7761.89,
27-November-2007,7728.27,7756.82,7680.91,7744.52,
28-November-2007,7807.39,7816.77,7645.17,7669.49,
29-November-2007,7814.26,7816.95,7662.06,7681.11,
30-November-2007,7730.61,7880.99,7709.54,7865.98,
3-December-2007,7943.25,8025.77,7932.79,8019.14,
4-December-2007,8067.43,8092.52,8031.19,8057.36,
5-December-2007,8115.25,8183.20,8072.38,8168.75,
6-December-2007,8288.04,8301.72,8141.06,8181.93,
7-December-2007,8289.07,8298.40,8098.21,8219.20,
10-December-2007,8270.21,8272.79,8198.78,8240.57,
11-December-2007,8303.94,8385.71,8295.85,8360.75,
12-December-2007,8322.89,8465.66,8268.66,8452.26,
13-December-2007,8494.74,8515.10,8373.41,8388.34,
14-December-2007,8405.08,8442.94,8356.22,8390.52,
17-December-2007,8376.08,8393.01,7986.35,8032.16,
18-December-2007,8053.42,8089.61,7919.60,8000.88,
19-December-2007,8056.25,8157.90,7907.29,8002.18,
20-December-2007,8038.30,8064.04,7976.20,7995.62,
24-December-2007,8060.61,8248.28,8060.61,8240.16,
26-December-2007,8283.53,8418.57,8283.53,8412.16,
27-December-2007,8458.18,8476.34,8406.61,8425.68,
28-December-2007,8410.19,8503.13,8373.47,8497.59,
31-December-2007,8549.17,8616.65,8549.17,8592.43,
1-January-2008,8620.10,8685.32,8601.24,8660.63,
2-January-2008,8703.62,8787.36,8595.08,8765.73,
3-January-2008,8753.08,8817.09,8719.85,8746.04,
4-January-2008,8770.10,8888.60,8770.10,8850.48,
7-January-2008,8817.23,8910.37,8764.84,8882.28,
8-January-2008,8939.19,8991.42,8717.30,8799.86,
9-January-2008,8803.48,8882.88,8705.40,8778.98,
10-January-2008,8806.32,8893.60,8550.14,8566.49,
11-January-2008,8602.17,8657.65,8467.40,8623.69,
14-January-2008,8657.98,8688.95,8611.86,8667.47,
15-January-2008,8711.65,8743.18,8489.66,8508.44,
16-January-2008,8452.49,8452.49,8179.27,8343.63,
17-January-2008,8388.68,8443.85,8287.82,8324.23,
18-January-2008,8287.08,8304.40,7943.48,7972.80,
21-January-2008,7930.85,7930.85,6943.94,7195.23,
22-January-2008,6946.73,6946.73,6124.82,6737.12,
23-January-2008,6978.62,7330.37,6862.71,7182.93,
24-January-2008,7303.50,7425.58,6892.31,6970.31,
25-January-2008,7076.60,7468.80,7076.60,7452.49,
28-January-2008,7330.40,7402.54,7092.66,7386.64,
29-January-2008,7463.90,7532.42,7289.94,7373.42,
30-January-2008,7380.62,7384.85,7182.82,7209.93,
31-January-2008,7228.82,7292.81,7037.12,7160.03,
1-February-2008,7216.35,7320.55,7082.74,7302.35,
4-February-2008,7389.46,7589.57,7389.46,7505.14,
5-February-2008,7484.58,7560.93,7447.41,7537.81,
6-February-2008,7384.89,7401.94,7244.92,7360.12,
7-February-2008,7382.50,7424.95,7116.11,7126.87,
8-February-2008,7143.12,7172.10,6940.19,7047.60,
11-February-2008,7037.75,7037.75,6622.50,6678.96,
12-February-2008,6737.76,6797.35,6603.60,6629.64,
13-February-2008,6699.41,6806.21,6643.25,6729.51,
14-February-2008,6850.53,7105.67,6850.53,7086.83,
15-February-2008,7014.77,7249.05,6970.68,7236.57,
18-February-2008,7284.47,7299.67,7180.27,7234.13,
19-February-2008,7293.39,7352.29,7218.58,7238.95,
20-February-2008,7211.76,7211.76,7028.55,7074.30,
21-February-2008,7147.03,7197.08,7031.73,7121.15,
22-February-2008,7049.62,7049.78,6979.51,6997.47,
25-February-2008,7052.39,7083.05,6901.46,7073.19,
26-February-2008,7122.04,7182.47,7116.54,7162.80,
27-February-2008,7225.55,7303.91,7155.63,7178.19,
28-February-2008,7173.55,7213.70,7122.04,7177.42,
29-February-2008,7157.10,7170.38,6969.69,7108.12,
3-March-2008,6991.67,6991.67,6735.62,6751.98,
4-March-2008,6765.12,6779.25,6493.87,6597.44,
5-March-2008,6591.55,6640.59,6533.86,6613.56,
7-March-2008,6498.68,6498.68,6231.77,6354.94,
10-March-2008,6247.44,6362.28,6079.06,6341.75,
11-March-2008,6295.41,6508.65,6274.13,6490.09,
12-March-2008,6630.08,6717.05,6454.23,6479.38,
13-March-2008,6369.97,6369.97,6077.54,6121.05,
14-March-2008,6151.29,6275.26,6108.13,6260.84,
17-March-2008,6092.29,6092.29,5837.53,5859.51,
18-March-2008,5839.48,5952.98,5795.64,5837.37,
19-March-2008,6000.03,6080.84,5831.02,5852.81,
24-March-2008,5888.94,5941.53,5773.51,5859.72,
25-March-2008,5959.65,6241.44,5959.65,6221.98,
26-March-2008,6244.59,6289.07,6181.85,6220.78,
27-March-2008,6174.34,6261.72,6149.87,6211.31,
28-March-2008,6239.46,6420.93,6198.70,6395.47,
31-March-2008,6352.15,6352.15,6126.49,6157.27,
1-April-2008,6197.26,6238.26,6036.55,6149.29,
2-April-2008,6278.46,6371.54,6176.34,6188.74,
3-April-2008,6203.53,6256.71,6162.78,6203.25,
4-April-2008,6217.38,6218.71,6028.89,6045.14,
7-April-2008,6060.35,6214.01,6024.18,6187.94,
8-April-2008,6193.31,6198.97,6115.73,6154.02,
9-April-2008,6135.20,6247.88,6116.92,6235.77,
10-April-2008,6232.65,6311.72,6206.86,6220.07,
11-April-2008,6266.60,6315.07,6222.03,6273.04,
15-April-2008,6240.99,6415.40,6199.57,6397.38,
16-April-2008,6445.14,6510.75,6424.53,6442.71,
17-April-2008,6513.52,6576.85,6513.52,6555.17,
21-April-2008,6601.68,6680.43,6601.68,6673.71,
22-April-2008,6659.21,6732.68,6634.35,6712.52,
23-April-2008,6735.57,6755.74,6654.26,6688.74,
24-April-2008,6733.20,6752.32,6664.64,6673.65,
25-April-2008,6710.17,6803.82,6685.39,6794.59,
28-April-2008,6837.34,6843.75,6765.81,6776.90,
29-April-2008,6792.85,6923.29,6775.03,6908.87,
30-April-2008,6944.24,6965.79,6870.95,6885.03,
2-May-2008,6977.67,7005.35,6947.94,6990.13,
5-May-2008,7022.39,7066.27,6967.41,6981.55,
6-May-2008,6976.32,6992.61,6868.96,6916.23,
7-May-2008,6925.72,6943.15,6861.24,6897.26,
8-May-2008,6854.92,6854.92,6791.21,6812.75,
9-May-2008,6794.85,6832.24,6630.52,6653.45,
12-May-2008,6617.22,6686.11,6534.78,6673.97,
13-May-2008,6723.31,6778.84,6620.89,6639.75,
14-May-2008,6620.77,6726.26,6601.03,6715.40,
15-May-2008,6755.06,6846.85,6755.06,6843.54,
16-May-2008,6887.31,6911.62,6849.55,6896.67,
20-May-2008,6871.82,6892.47,6807.22,6847.19,
21-May-2008,6793.36,6890.08,6781.95,6872.60,
22-May-2008,6828.51,6828.51,6730.73,6745.76,
23-May-2008,6770.12,6805.94,6634.63,6642.92,
26-May-2008,6573.90,6573.90,6489.24,6505.47,
27-May-2008,6545.59,6567.75,6442.25,6457.04,
28-May-2008,6484.38,6553.55,6427.23,6543.05,
29-May-2008,6583.66,6592.69,6435.73,6477.33,
30-May-2008,6506.03,6535.08,6429.45,6474.97,
2-June-2008,6525.63,6540.45,6294.23,6323.07,
3-June-2008,6250.32,6293.43,6174.49,6283.10,
4-June-2008,6297.32,6304.95,6064.49,6087.93,
5-June-2008,6088.95,6179.96,5998.04,6169.16,
6-June-2008,6225.10,6246.59,6094.02,6109.45,
9-June-2008,5956.09,5957.41,5816.82,5928.25,
10-June-2008,5899.19,5951.04,5775.25,5864.42,
11-June-2008,5905.42,5978.20,5905.42,5957.79,
12-June-2008,5874.43,5997.71,5798.71,5989.48,
13-June-2008,6020.15,6021.19,5944.10,5964.63,
16-June-2008,6016.80,6099.56,6016.80,6045.68,
17-June-2008,6049.46,6178.22,6034.36,6166.76,
18-June-2008,6188.07,6215.81,6065.33,6076.48,
19-June-2008,6022.09,6023.72,5941.55,5953.14,
20-June-2008,5975.42,5988.31,5723.36,5747.63,
23-June-2008,5699.37,5704.26,5550.95,5587.61,
24-June-2008,5594.37,5630.33,5454.21,5492.05,
25-June-2008,5408.62,5550.89,5359.89,5543.15,
26-June-2008,5571.63,5625.47,5533.39,5591.10,
27-June-2008,5492.10,5492.10,5354.70,5367.19,
30-June-2008,5365.50,5393.06,5199.65,5215.37,
1-July-2008,5224.80,5236.40,4986.37,5002.84,
2-July-2008,4999.07,5258.79,4899.76,5244.79,
3-July-2008,5204.51,5204.51,4960.05,5028.18,
4-July-2008,5033.30,5178.80,4993.40,5161.93,
7-July-2008,5193.79,5302.65,5186.16,5204.19,
8-July-2008,5126.97,5196.83,5040.47,5159.57,
9-July-2008,5237.75,5387.42,5237.75,5378.51,
10-July-2008,5350.97,5413.23,5312.43,5377.90,
11-July-2008,5414.94,5424.68,5186.38,5226.85,
14-July-2008,5189.58,5273.59,5160.50,5186.76,
15-July-2008,5106.68,5106.68,4932.98,4956.47,
16-July-2008,4972.92,5031.17,4862.30,4895.05,
17-July-2008,4994.18,5074.79,4970.70,5045.27,
18-July-2008,5087.09,5221.25,5047.88,5203.98,
21-July-2008,5247.33,5271.53,5177.74,5260.24,
22-July-2008,5261.61,5396.34,5250.29,5372.11,
23-July-2008,5528.62,5710.20,5528.62,5692.25,
24-July-2008,5740.60,5783.45,5589.43,5641.17,
25-July-2008,5546.71,5574.88,5482.74,5508.25,
28-July-2008,5502.78,5566.40,5493.97,5541.47,
29-July-2008,5465.23,5479.87,5321.45,5342.36,
30-July-2008,5404.66,5526.34,5404.66,5514.32,
31-July-2008,5539.77,5540.29,5476.48,5525.77,
1-August-2008,5441.26,5650.16,5424.47,5642.57,
4-August-2008,5632.57,5708.85,5626.94,5670.90,
5-August-2008,5670.96,5811.12,5667.24,5803.57,
6-August-2008,5905.17,5953.68,5797.66,5811.93,
7-August-2008,5797.89,5884.80,5788.17,5829.50,
8-August-2008,5805.74,5860.79,5754.27,5845.02,
11-August-2008,5918.68,5972.31,5918.68,5964.99,
12-August-2008,5987.78,5993.16,5844.34,5872.46,
13-August-2008,5830.84,5906.82,5816.73,5844.37,
14-August-2008,5828.61,5829.71,5693.70,5705.52,
18-August-2008,5697.75,5739.29,5643.20,5658.53,
19-August-2008,5620.76,5646.31,5558.17,5627.21,
20-August-2008,5652.42,5705.11,5652.42,5682.58,
21-August-2008,5673.01,5673.01,5512.82,5527.11,
22-August-2008,5498.03,5578.95,5488.40,5570.47,
25-August-2008,5643.04,5665.39,5577.56,5587.23,
26-August-2008,5553.22,5602.30,5532.47,5596.93,
27-August-2008,5623.48,5623.48,5528.02,5537.75,
28-August-2008,5536.69,5554.99,5440.74,5454.16,
29-August-2008,5524.36,5637.06,5524.36,5631.51,
1-September-2008,5588.18,5630.72,5548.91,5617.12,
2-September-2008,5648.54,5811.02,5639.86,5792.51,
4-September-2008,5752.80,5780.93,5700.25,5746.85,
5-September-2008,5651.40,5658.79,5604.35,5615.12,
8-September-2008,5771.34,5821.90,5744.43,5752.12,
9-September-2008,5722.91,5757.39,5681.56,5725.98,
10-September-2008,5678.07,5723.77,5631.29,5649.79,
11-September-2008,5617.15,5617.15,5521.05,5539.39,
12-September-2008,5575.39,5578.95,5407.22,5429.81,
15-September-2008,5325.90,5325.90,5093.54,5224.39,
16-September-2008,5077.35,5214.72,5051.34,5203.90,
