Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532702,GSPL,GUJARAT STATE PETRONET LTD.,10 Sep 2007,Dividend - Rs. - 0.5000,-,12 Sep 2007,21 Sep 2007,05 Sep 2007,11 Sep 2007,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,15 Sep 2008,Dividend - Rs. - 0.5000,-,17 Sep 2008,26 Sep 2008,10 Sep 2008,16 Sep 2008,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,26 Nov 2009,Dividend - Rs. - 0.7500,-,28 Nov 2009,03 Dec 2009,23 Nov 2009,26 Nov 2009,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,13 Sep 2010,Dividend - Rs. - 1.0000,-,15 Sep 2010,21 Sep 2010,07 Sep 2010,14 Sep 2010,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,15 Sep 2011,Dividend - Rs. - 1.0000,-,17 Sep 2011,23 Sep 2011,12 Sep 2011,15 Sep 2011,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,13 Sep 2012,Dividend - Rs. - 1.0000,-,15 Sep 2012,25 Sep 2012,10 Sep 2012,13 Sep 2012,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,19 Sep 2013,Dividend - Rs. - 1.0000,-,21 Sep 2013,27 Sep 2013,16 Sep 2013,19 Sep 2013,04 Oct 2013
532702,GSPL,GUJARAT STATE PETRONET LTD.,18 Sep 2014,Dividend - Rs. - 1.0000,-,20 Sep 2014,25 Sep 2014,15 Sep 2014,18 Sep 2014,30 Sep 2014
532702,GSPL,GUJARAT STATE PETRONET LTD.,15 Sep 2015,Dividend - Rs. - 1.2000,-,17 Sep 2015,24 Sep 2015,10 Sep 2015,15 Sep 2015,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,14 Sep 2016,Dividend - Rs. - 1.5000,-,16 Sep 2016,22 Sep 2016,08 Sep 2016,15 Sep 2016,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,20 Sep 2017,Dividend - Rs. - 1.5000,-,22 Sep 2017,28 Sep 2017,15 Sep 2017,21 Sep 2017,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,19 Sep 2018,Dividend - Rs. - 1.7500,-,22 Sep 2018,28 Sep 2018,14 Sep 2018,19 Sep 2018,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,12 Sep 2019,Final Dividend - Rs. - 2.0000,-,14 Sep 2019,24 Sep 2019,06 Sep 2019,12 Sep 2019,-
532702,GSPL,GUJARAT STATE PETRONET LTD.,09 Sep 2020,Dividend - Rs. - 2.0000,10 Sep 2020,-,-,03 Sep 2020,09 Sep 2020,-
