Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Previous 30 days LB,Previous 30 days UB,Previous 60 days LB,Previous 60 days UB,Previous 90 days LB,Previous 90 days UB,Previous 180 days LB,Previous 180 days UB,Previous 360 days LB,Previous 360 days UB,Previous 720 days LB,Previous 720 days UB,Previous 1080 days LB,Previous 1080 days UB,Next 30 days LB,Next 30 days UB,Next 60 days LB,Next 60 days UB,Next 90 days LB,Next 90 days UB,Next 180 days LB,Next 180 days UB,Next 360 days LB,Next 360 days UB,Next 720 days LB,Next 720 days UB,Next 1080 days LB,Next 1080 days UB,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price,Open Price GR,High Price GR,Low Price GR,Close Price GR,Next Day Open Price GR,Next Day High Price GR,Next Day Low Price GR,Next Day Close Price GR,WAP GR,No.of Shares GR,No. of Trades GR,Total Turnover (Rs.) GR,Deliverable Quantity GR,% Deli. Qty to Traded Qty GR,Spread High-Low GR,Spread Close-Open GR,Alpha GR,Beta GR,Sequential Increase,Sequential Decrease,Sequential Increase %,Sequential Decrease %,Max Inc % in 90 days,Max Dec % in 90 days,Min Inc % in 90 days,Min Dec % in 90 days,Avg Inc % in 90 days,Avg Dec % in 90 days,Max Inc % in 180 days,Max Dec % in 180 days,Min Inc % in 180 days,Min Dec % in 180 days,Avg Inc % in 180 days,Avg Dec % in 180 days,Max Inc % in 365 days,Max Dec % in 365 days,Min Inc % in 365 days,Min Dec % in 365 days,Avg Inc % in 365 days,Avg Dec % in 365 days,Revenue GR,Dividend Value GR,Income GR,Expenditure GR,Net Profit GR,EPS GR,CP % LV 7 days,CP % HV 7 days,CP % BA 7 days,CP % LV 30 days,CP % HV 30 days,CP % BA 30 days,CP % LV 90 days,CP % HV 90 days,CP % BA 90 days,CP % LV 180 days,CP % HV 180 days,CP % BA 180 days,CP % LV 365 days,CP % HV 365 days,CP % BA 365 days
2021-04-28,20.35,20.35,20.35,20.35,20.0,1.0,1.0,20.0,1.0,100.0,0.0,0.0,1619568000.0,0,0.0,19921.25,1.233991346866281,0.25889074904709963,0.01,145.7002457002457,-70.6637384702265,163.80173223899794,7.94,89.95,82.01,1.0,1.1056511056511056,1.0,1.4373464373464373,1.0,1.5479115479115475,1.0,1.7936117936117937,1.0,1.9754299754299756,1.0,2.211302211302211,1.0,2.28992628992629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0005772993506978207,0.0005178292372394933,0,1,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9509345794392524,19.38095238095244,1.0,0.9044444444444444,9.465116279069774,1.0,0.6460317460317461,1.8251121076233188,1.0,0.5575342465753425,1.260061919504644,1.0,0.5062189054726368,1.0251889168765742
2021-04-27,20.35,20.35,20.35,20.35,20.0,1.0,1.0,20.0,1.0,100.0,0.0,0.0,1619568000.0,0,-4.906542056074759,19678.42,1.1896913980827817,0.25875675723287117,0.01,145.7002457002457,-70.30173154145504,163.70722416478307,7.94,89.95,82.01,1.0,1.1056511056511056,1.0,1.4373464373464373,1.0,1.5479115479115475,1.0,1.7936117936117937,1.0,1.9754299754299756,1.0,2.211302211302211,1.0,2.28992628992629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,20.35,20.35,20.35,20.35,-0.04906542056074754,-0.04906542056074754,-0.04906542056074754,-0.04906542056074754,0.0,0.0,0.0,0.0,-0.06542056074766349,-0.99,0.0,-0.9906542056074766,-0.99,0.0,,,0.08030601134950939,-0.0018143970499914003,0,0,0.0,0.0,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9509345794392524,19.38095238095244,1.0,0.9044444444444444,9.465116279069774,1.0,0.6460317460317461,1.8251121076233188,1.0,0.5575342465753425,1.260061919504644,1.0,0.5062189054726368,1.0251889168765742
2021-04-26,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,0.0,19447.06,0.914176771285602,0.2592270981149688,0.03,133.6448598130841,-69.9484137962242,151.5378258057468,7.94,89.95,82.01,1.0,1.051401869158879,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,20.35,20.35,20.35,20.35,0.0,0.0,0.0,0.0,-0.04906542056074754,-0.04906542056074754,-0.04906542056074754,-0.04906542056074754,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00020543926870540184,0.00027654510633958173,0,0,0.0,0.0,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.951111111111111,19.45454545454543,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-23,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,0.0,19270.89,-0.2104959003787487,0.25915542994903507,0.03,133.6448598130841,-69.67368917574642,151.50670038001675,7.94,89.95,82.01,1.0,1.0841121495327104,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.00010517346136452767,2.5575604836541608e-05,0,0,0.0,0.0,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.9224137931034484,11.888888888888884,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-22,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,0.0,19311.54,0.636130127616874,0.2591488020616797,0.03,133.6448598130841,-69.73752481676759,151.52263654017676,7.94,89.95,82.01,1.0,1.0841121495327104,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.000341182808482603,0.00012741344178075062,0,0,0.0,0.0,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.951111111111111,19.45454545454543,1.0,0.9224137931034484,11.888888888888884,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-20,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,0.0,19189.47,-0.1885495055581776,0.2591157872274093,0.03,133.6448598130841,-69.54501609476448,151.47095725357744,7.94,89.95,82.01,1.0,1.0841121495327104,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.00014387098516451335,2.1488683107366867e-05,0,0,0.0,0.0,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,-0.0490654205607475,0.0515970515970514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.951111111111111,19.45454545454543,1.0,0.9224137931034484,11.888888888888884,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-19,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,0.0,19225.72,-1.809648085679039,0.2591102192900171,0.02,133.6448598130841,-69.60243881633562,151.49275266514866,7.94,89.95,82.01,1.0,1.0841121495327104,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0007788559403643948,0.001284354048586297,0,1,-0.0488888888888889,0.0514018691588785,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.951111111111111,19.45454545454543,1.0,0.9224137931034484,11.888888888888884,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-16,21.4,21.4,21.4,21.4,21.4,100.0,1.0,2140.0,100.0,100.0,0.0,0.0,1619395200.0,0,-4.888888888888898,19580.05,0.4946190863327704,0.25877785690182076,0.02,133.6448598130841,-70.15252770038892,151.61083566513005,7.94,89.95,82.01,1.0,1.1401869158878504,1.0,1.366822429906542,1.0,1.47196261682243,1.0,1.705607476635514,1.0,1.8785046728971968,1.0,2.1028037383177574,1.0,2.1775700934579443,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,0.9509345794392524,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,-0.048888888888888954,-0.048888888888888954,-0.048888888888888954,-0.048888888888888954,0.0,0.0,0.0,0.0,-0.048888888888888954,0.0,0.0,-0.04888888888888889,0.0,0.0,,,0.08178281579785579,-0.0022111978926193355,0,0,0.0,0.0,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.951111111111111,19.45454545454543,1.0,0.8770491803278688,7.133333333333333,1.0,0.6793650793650793,2.1188118811881185,1.0,0.5863013698630136,1.4172185430463573,1.0,0.5323383084577114,1.1382978723404251
2021-04-15,22.5,22.5,22.5,22.5,22.5,100.0,1.0,2250.0,100.0,100.0,0.0,0.0,1618444800.0,0,0.0,19483.68,0.4160189991630147,0.259351334025065,0.02,122.22222222222224,-70.00489640560717,140.1490515943455,7.94,89.95,82.01,1.0,1.0844444444444443,1.0,1.3,1.0,1.4,1.0,1.6222222222222222,1.0,1.7866666666666668,1.0,2.0,1.0,2.071111111111111,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,21.4,21.4,21.4,21.4,0.0,0.0,0.0,0.0,-0.048888888888888954,-0.048888888888888954,-0.048888888888888954,-0.048888888888888954,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.738442504919403e-05,4.978716148074855e-05,0,0,0.0,0.0,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.9221311475409836,11.842105263157904,1.0,0.7142857142857143,2.5,1.0,0.6164383561643836,1.6071428571428572,1.0,0.5597014925373134,1.2711864406779658
2021-04-13,22.5,22.5,22.5,22.5,22.5,100.0,1.0,2250.0,100.0,100.0,0.0,0.0,1618444800.0,0,0.0,19402.96,1.3743533799270624,0.2593384223011557,0.03,122.22222222222224,-69.88011107583586,140.1528896006462,7.94,89.95,82.01,1.0,1.0844444444444443,1.0,1.3,1.0,1.4,1.0,1.6222222222222222,1.0,1.7866666666666668,1.0,2.0,1.0,2.071111111111111,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,0.9044444444444444,1.0,,,,,,2021,2.04,2.03,-0.02,1.41,0.28,3.06,3.03,-0.04,2.58,0.53,5.85,5.79,-0.11,5.0,1.02,,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.000789202969920852,0.0006508799701311109,0,0,0.0,0.0,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,-0.0488888888888889,0.0515970515970514,-0.0490654205607475,0.0514018691588785,-0.0489771547248182,0.051499460377965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.9221311475409836,11.842105263157904,1.0,0.7142857142857143,2.5,1.0,0.6164383561643836,1.6071428571428572,1.0,0.5597014925373134,1.2711864406779658
