security code,security name,revenue,income,expenditure,profit,eps,year,quartile
538568,FRUTION,4.25,4.25,-0.43,2.94,0.73,2014,1
538568,FRUTION,6.71,6.71,-0.51,0.52,0.13,2014,3
538568,FRUTION,36.00,36.00,-1.82,1.00,0.25,2014,4
538568,FRUTION,9.08,9.08,-0.61,0.24,0.06,2015,1
538568,FRUTION,43.40,43.40,-0.40,1.89,0.47,2015,2
538568,FRUTION,40.05,40.05,-0.32,1.51,0.38,2015,3
538568,FRUTION,22.58,22.58,-0.23,1.98,0.50,2015,4
538568,FRUTION,6.73,6.73,-0.29,6.34,1.59,2016,1
538568,FRUTION,0.56,-0.74,-0.37,2.13,,2016,2
538568,FRUTION,6.14,-0.09,-6.23,-0.07,,2016,3
538568,FRUTION,0.80,-1.36,-0.12,-1.05,,2016,4
538568,FRUTION,1.24,1.33,-0.14,0.02,0.01,2017,1
538568,FRUTION,9.92,9.97,-0.50,1.12,0.28,2017,2
538568,FRUTION,9.05,12.97,-0.35,13.79,3.45,2017,3
538568,FRUTION,,3.91,-0.59,2.33,0.58,2017,4
538568,FRUTION,139.23,152.20,-0.67,-5.82,-3.93,2018,1
538568,FRUTION,43.31,43.32,-0.55,-0.58,1.12,2018,2
538568,FRUTION,2.14,2.39,-0.31,-6.68,-3.36,2018,3
538568,FRUTION,0.01,0.56,-0.17,2.91,0.71,2018,4
538568,FRUTION,,0.39,-0.27,0.30,0.09,2019,1
538568,FRUTION,3.02,3.05,-0.53,-3.64,-1.47,2019,2
538568,FRUTION,11.46,11.65,-0.26,-5.28,-1.94,2019,3
538568,FRUTION,3.48,2.61,-0.16,-1.74,-0.29,2019,4
538568,FRUTION,0.46,1.14,-0.15,-2.88,-1.98,2020,1
538568,FRUTION,0.20,0.22,-0.43,0.63,0.36,2020,2
538568,FRUTION,,0.08,-0.08,-0.25,-0.14,2020,3
538568,FRUTION,,0.05,-0.11,-0.47,-0.12,2020,4
