Security Code,Security Name
500002,ABB India Ltd.
500003,Aegis Logistics Ltd.
500008,Amara Raja Batteries Ltd.
500010,Housing Development Finance Corpn. Ltd.
500020,Bombay Dyeing & Mfg. Co. Ltd.
500027,Atul Ltd.
500031,Bajaj Electricals Ltd.
500033,Force Motors Ltd.
500034,Bajaj Finance Ltd.
500038,Balrampur Chini Mills Ltd.
500040,Century Textiles & Inds. Ltd.
500042,BASF India Ltd.
500043,Bata India Ltd.
500048,BEML Ltd
500049,Bharat Electronics Ltd.
500067,Blue Star Ltd.
500084,CESC Ltd.
500085,Chambal Fertilisers & Chemicals Ltd.
500086,Exide Industries Ltd.
500087,Cipla Ltd.
500092,Crisil Ltd.
500096,Dabur India Ltd.
500103,Bharat Heavy Electricals Ltd.
500104,Hindustan Petroleum Corpn. Ltd.
500106,IFCI Ltd.
500109,Mangalore Refinery & Petrochemicals Ltd.
500110,Chennai Petroleum Corpn. Ltd.
500112,State Bank of India
500113,Steel Authority Of India Ltd.
500114,Titan Company Ltd.
500116,IDBI Bank Ltd.
500124,Dr. Reddy's Laboratories Ltd.
500125,EID-Parry (India) Ltd.
500126,Procter & Gamble Health Ltd.
500133,Esab India Ltd.
500135,EPL Ltd.
500144,Finolex Cables Ltd.
500148,UFLEX Ltd.
500163,Godfrey Phillips India Ltd.
500164,Godrej Industries Ltd.
500165,Kansai Nerolac Paints Ltd.
500171,GHCL Ltd.
500180,HDFC Bank Ltd.
500182,Hero Motocorp Ltd.
500183,HFCL Ltd.
500184,Himadri Speciality Chemical Ltd.
500188,Hindustan Zinc Ltd.
500209,Infosys Ltd.
500228,JSW Steel Ltd.
500233,Kajaria Ceramics Ltd.
500238,Whirlpool Of India Ltd.
500247,Kotak Mahindra Bank Ltd.
500249,KSB Ltd.
500251,Trent Ltd.
500252,Lakshmi Machine Works Ltd.
500253,LIC Housing Finance Ltd.
500257,Lupin Ltd.
500260,The Ramco Cements Ltd.
500265,Maharashtra Seamless Ltd.
500266,Maharashtra Scooters Ltd.
500271,Max Financial Services Ltd.
500285,Spicejet Ltd.
500290,MRF Ltd.
500292,Heidelberg Cement India Ltd.
500294,NCC Ltd.
500295,Vedanta Ltd.
500300,Grasim Industries Ltd.
500302,Piramal Enterprises Ltd.
500312,Oil & Natural Gas Corpn. Ltd.
500325,Reliance Industries Ltd.
500330,Raymond Ltd.
500331,Pidilite Industries Ltd.
500335,Birla Corporation Ltd.
500338,Prism Johnson Ltd.
500339,Rain Industries Ltd.
500355,Rallis India Ltd.
500378,Jindal Saw Ltd.
500380,JK Lakshmi Cement Ltd.
500387,Shree Cement Ltd.
500400,Tata Power Co. Ltd.
500403,Sundram Fasteners Ltd.
500408,Tata Elxsi Ltd.
500410,ACC Ltd.
500411,Thermax Ltd.
500420,Torrent Pharmaceuticals Ltd.
500425,Ambuja Cements Ltd.
500440,Hindalco Industries Ltd.
500459,Procter & Gamble Hygiene & Health Care Ltd.
500469,Federal Bank Ltd.
500470,Tata Steel Ltd.
500472,SKF India Ltd.
500477,Ashok Leyland Ltd.
500480,Cummins India Ltd.
500483,Tata Communications Ltd.
500488,Abbott India Ltd.
500490,Bajaj Holdings & Investment Ltd.
500493,Bharat Forge Ltd.
500495,Escorts Ltd.
500510,Larsen & Toubro Ltd.
500520,Mahindra & Mahindra Ltd.
500530,Bosch Ltd.
500547,Bharat Petroleum Corpn. Ltd.
500550,Siemens Ltd.
500570,Tata Motors Ltd.
500575,Voltas Ltd.
500620,Great Eastern Shipping Company Ltd.
500645,Deepak Fertilisers & Petrochemicals Corpn. Ltd.
500660,Glaxosmithkline Pharmaceuticals Ltd.
500670,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.
500674,Sanofi India Ltd.
500680,Pfizer Ltd.
500690,Gujarat State Fertilizers & Chemicals Ltd.
500696,Hindustan Unilever Ltd.
500710,Akzo Nobel India Ltd.
500730,NOCIL Ltd.
500770,Tata Chemicals Ltd.
500790,Nestle India Ltd.
500800,Tata Consumer Products Ltd.
500820,Asian Paints Ltd.
500825,Britannia Industries Ltd.
500830,Colgate-Palmolive (India) Ltd.
500840,EIH Ltd.
500850,Indian Hotels Co. Ltd.
500870,Castrol India Ltd.
500875,ITC Ltd.
500877,Apollo Tyres Ltd.
500878,Ceat Ltd.
500940,Finolex Industries Ltd.
501301,Tata Investment Corpn. Ltd.
501425,Bombay Burmah Trdg. Corpn. Ltd.
501455,Greaves Cotton Ltd.
502355,Balkrishna Industries Ltd.
502986,Vardhman Textiles Ltd.
503100,Phoenix Mills Ltd.
503310,Swan Energy Ltd.
503806,SRF Ltd.
504067,Zensar Technologies Ltd.
504973,Cholamandalam Financial Holdings Ltd.
505200,Eicher Motors Ltd.
505255,GMM Pfaudler Ltd.
505355,Nesco Ltd.
505509,Responsive Industries Ltd.
505533,Westlife Development Ltd.
505537,Zee Entertainment Enterprises Ltd.
505726,IFB Industries Ltd.
505790,Schaeffler India Ltd.
506076,Grindwell Norton Ltd.
506197,Bliss GVS Pharma Ltd.
506285,Bayer CropScience Ltd.
506395,Coromandel International Ltd.
506401,Deepak Nitrite Ltd.
506590,Phillips Carbon Black Ltd.
506655,Sudarshan Chemical Inds. Ltd.
506767,Alkyl Amines Chemicals Ltd.
506820,Astrazeneca Pharma India Ltd.
506943,JB Chemicals & Pharmaceuticals Ltd.
507685,Wipro Ltd.
507717,Dhanuka Agritech Ltd.
507815,Gillette India Ltd.
507880,VIP Industries Ltd.
508486,Hawkins Cookers Ltd.
508869,Apollo Hospitals Enterprise Ltd.
508989,Navneet Education Ltd.
509243,TVS Srichakra Ltd.
509480,Berger Paints India Ltd.
509488,Graphite India Ltd.
509557,Garware Technical Fibres Ltd.
509631,HEG Ltd.
509930,Supreme Industries Ltd.
509966,VST Industries Ltd.
511196,Can Fin Homes Ltd.
511218,Shriram Transport Finance Co. Ltd.
511243,Cholamandalam Investment & Finance Co. Ltd.
511431,Vakrangee Ltd.
512070,UPL Ltd.
512179,Sunteck Realty Ltd.
512237,Jai Corp Ltd.
512529,Sequent Scientific Ltd.
512573,Avanti Feeds Ltd.
512599,Adani Enterprises Ltd.
513023,Nava Bharat Ventures Ltd.
513375,Carborundum Universal Ltd.
513377,MMTC Ltd.
513434,Tata Metaliks Ltd.
513599,Hindustan Copper Ltd.
513683,NLC India Ltd.
514162,Welspun India Ltd.
517174,Honeywell Automation India Ltd.
517334,Motherson Sumi Systems Ltd.
517354,Havells India Ltd.
517385,Symphony Ltd.
517506,TTK Prestige Ltd.
517569,Kei Industries Ltd.
519091,Tasty Bite Eatables Ltd.
519552,Heritage Foods Ltd.
519600,CCL Products (India) Ltd.
520051,Jamna Auto Inds. Ltd.
520057,JTEKT India Ltd.
520111,Ratnamani Metals & Tubes Ltd.
521064,Trident Ltd.
521070,Alok Industries Ltd.
522113,Timken India Ltd.
522287,Kalpataru Power Transmission Ltd.
523261,Venky's (India) Ltd.
523319,Balmer Lawrie & Co. Ltd.
523367,DCM Shriram Ltd.
523385,Nilkamal Ltd.
523395,3M India Ltd.
523398,Johnson Controls - Hitachi Air Conditioning India Ltd.
523405,JM Financial Ltd.
523457,Linde India Ltd.
523598,Shipping Corpn. Of India Ltd.
523610,ITI Ltd.
