average_return_percent,simulation_result,company,code
0.18581732743373444,"[{'investment': 99848.6, 'shares': 202, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 494.3}, {'investment': 118402.19999999998, 'shares': 202, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 585.4}]",KAVERI SEED COMPANY LTD,532899
0.12155333350900724,"[{'investment': 98667.79999999999, 'shares': 44, 'entry': True, 'exit': False, 'date': '23-03-2021', 'close': 2242.45}, {'investment': 110661.20000000001, 'shares': 44, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 2484.75}]",FINE ORGANIC INDUSTRIES LTD,541557
0.09140947552629568,"[{'investment': 99886.8, 'shares': 228, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 438.1}, {'investment': 109017.4, 'shares': 228, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 477.65}]",CARE RATINGS LTD,534804
0.07451951951951967,"[{'investment': 99900.0, 'shares': 370, 'entry': True, 'exit': False, 'date': '25-03-2021', 'close': 270.0}, {'investment': 107344.50000000001, 'shares': 370, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 289.85}]",SUMITOMO CHEMICAL INDIA PVT LTD,542920
0.006560763053583138,"[{'investment': 99348.20000000001, 'shares': 58, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 1712.9}, {'investment': 100000.0, 'shares': 58, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1712.9}]",TVS SRICHAKRA LTD,509243
0.006044634835065985,"[{'investment': 99724.8, 'shares': 168, 'entry': True, 'exit': False, 'date': '23-03-2021', 'close': 593.6}, {'investment': 100327.59999999999, 'shares': 168, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 595.55}]",DILIP BUILDCON LTD,540047
0.005004924524130168,"[{'investment': 99502.0, 'shares': 178, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 559.0}, {'investment': 100000.0, 'shares': 178, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 559.0}]",ICICI BANK LTD,532174
0.0038134608759742786,"[{'investment': 99856.8, 'shares': 432, 'entry': True, 'exit': False, 'date': '01-04-2021', 'close': 231.15}, {'investment': 100237.59999999999, 'shares': 432, 'entry': False, 'exit': True, 'date': '05-04-2021', 'close': 231.7}]",VEDANTA LTD,500295
0.0025153109150858922,"[{'investment': 99749.1, 'shares': 362, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 275.55}, {'investment': 100000.0, 'shares': 362, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 275.55}]",PRESTIGE ESTATES PROJECTS LTD,533274
0.0019193550646753987,"[{'investment': 99929.40000000001, 'shares': 606, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 164.9}, {'investment': 100121.19999999998, 'shares': 606, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 165.1}]",INDIABULLS HOUSING FINANCE LTD,535789
0.0018296702332704228,"[{'investment': 99744.75, 'shares': 15, 'entry': True, 'exit': False, 'date': '16-04-2021', 'close': 6649.65}, {'investment': 99927.25, 'shares': 15, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 6644.8}]",MARUTI SUZUKI INDIA LTD,532500
0.000737543569610774,"[{'investment': 99926.3, 'shares': 223, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 448.1}, {'investment': 100000.0, 'shares': 223, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 448.1}]",TCNS CLOTHING CO LTD,541700
0.0005077576870261657,"[{'investment': 99949.25, 'shares': 401, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 249.25}, {'investment': 100000.0, 'shares': 401, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 249.25}]",GUJARAT STATE PETRONET LTD,532702
0.0004031624744770978,"[{'investment': 99959.70000000001, 'shares': 202, 'entry': True, 'exit': False, 'date': '20-04-2021', 'close': 494.85}, {'investment': 100000.0, 'shares': 202, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 494.85}]",KEI INDUSTRIES LTD,517569
-0.005599391448774905,"[{'investment': 99975.15, 'shares': 1063, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 94.05}, {'investment': 99415.35, 'shares': 1063, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 93.5}]",TATA POWER CO LTD,500400
-0.007437970785510557,"[{'investment': 99368.5, 'shares': 89, 'entry': True, 'exit': False, 'date': '26-03-2021', 'close': 1116.5}, {'investment': 98629.4, 'shares': 89, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1101.1}]",TUBE INVESTMENTS OF INDIA LTD,540762
-0.014195828807409543,"[{'investment': 98736.75, 'shares': 63, 'entry': True, 'exit': False, 'date': '05-04-2021', 'close': 1567.25}, {'investment': 97335.1, 'shares': 63, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1524.95}]",VENKYS INDIA LTD,523261
-0.021412655169240843,"[{'investment': 99987.59999999999, 'shares': 194, 'entry': True, 'exit': False, 'date': '16-04-2021', 'close': 515.4}, {'investment': 97846.6, 'shares': 194, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 504.3}]",INDRAPRASTHA GAS LTD,532514
-0.024605845438407967,"[{'investment': 99992.5, 'shares': 1702, 'entry': True, 'exit': False, 'date': '12-04-2021', 'close': 58.75}, {'investment': 97532.09999999999, 'shares': 1702, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 57.3}]",JAGRAN PRAKASHAN LTD,532705
-0.025015129009187346,"[{'investment': 99973.5, 'shares': 249, 'entry': True, 'exit': False, 'date': '16-04-2021', 'close': 401.5}, {'investment': 97472.65000000001, 'shares': 249, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 391.35}]",NARAYANA HRUDAYALAYA LTD,539551
-0.025090002869011818,"[{'investment': 99999.59, 'shares': 12547, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 7.97}, {'investment': 97490.59999999999, 'shares': 12547, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 7.77}]",SOUTH INDIAN BANK LTD,532218
-0.029371748699479793,"[{'investment': 99960.0, 'shares': 480, 'entry': True, 'exit': False, 'date': '05-04-2021', 'close': 208.25}, {'investment': 97024.0, 'shares': 480, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 202.05}]",KNR CONSTRUCTIONS LTD,532942
-0.04021540595830608,"[{'investment': 99993.52, 'shares': 8756, 'entry': True, 'exit': False, 'date': '01-04-2021', 'close': 11.42}, {'investment': 95972.24, 'shares': 8756, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 10.96}]",UCO BANK,532505
-0.056209464328609175,"[{'investment': 99912.0, 'shares': 736, 'entry': True, 'exit': False, 'date': '15-04-2021', 'close': 135.75}, {'investment': 94296.0, 'shares': 736, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 128.0}]",CANARA BANK,532483
-0.07759669082937279,"[{'investment': 99988.79999999999, 'shares': 888, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 112.6}, {'investment': 92230.0, 'shares': 888, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 103.85}]",IRB INFRASTRUCTURE DEVELOPERS LTD,532947
-0.07820526155766411,"[{'investment': 99985.59999999999, 'shares': 1196, 'entry': True, 'exit': False, 'date': '26-03-2021', 'close': 83.6}, {'investment': 92166.20000000001, 'shares': 1196, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 77.05}]",WELSPUN INDIA LTD,514162
-0.09506270007870651,"[{'investment': 99991.90000000001, 'shares': 1982, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 50.45}, {'investment': 90486.4, 'shares': 1982, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 45.65}]",IDFC LTD,532659
-0.09794632310248864,"[{'investment': 99894.0, 'shares': 15, 'entry': True, 'exit': False, 'date': '09-04-2021', 'close': 6659.6}, {'investment': 90109.75, 'shares': 15, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 6000.25}]",LAKSHMI MACHINE WORKS LTD,500252
-0.10466715271381308,"[{'investment': 99990.29999999999, 'shares': 237, 'entry': True, 'exit': False, 'date': '23-03-2021', 'close': 421.9}, {'investment': 89524.6, 'shares': 237, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 377.7}]",TORRENT POWER LTD,532779
-0.1188100097905778,"[{'investment': 99994.1, 'shares': 1154, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 86.65}, {'investment': 88113.79999999999, 'shares': 1154, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 76.35}]",EQUITAS HOLDINGS LTD,539844
-0.16545050126817262,"[{'investment': 99986.40000000001, 'shares': 648, 'entry': True, 'exit': False, 'date': '23-03-2021', 'close': 154.3}, {'investment': 83443.59999999999, 'shares': 648, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 128.75}]",JK PAPER LTD,532162
-0.17454415409354757,"[{'investment': 99965.25, 'shares': 1731, 'entry': True, 'exit': False, 'date': '23-03-2021', 'close': 57.75}, {'investment': 82516.9, 'shares': 1731, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 47.65}]",FUTURE RETAIL LTD,540064
-0.17660657612810737,"[{'investment': 99316.8, 'shares': 144, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 689.7}, {'investment': 81776.79999999999, 'shares': 144, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 563.15}]",CREDITACCESS GRAMEEN LTD,541770
-0.22502120237466575,"[{'investment': 99988.79999999999, 'shares': 444, 'entry': True, 'exit': False, 'date': '22-03-2021', 'close': 225.2}, {'investment': 77489.20000000001, 'shares': 444, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 174.5}]",RBL BANK LTD,540065
