company,code,average_return_percent,simulation_result
ALKYL AMINES CHEMICALS LTD,506767,5.720841405396917,"[{'investment': 99958.95, 'shares': 117, 'entry': True, 'exit': False, 'date': '07-10-2019', 'close': 854.35}, {'investment': 671808.2500000001, 'shares': 117, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 5741.6}]"
LAURUS LABS LTD,540222,5.206152950397939,"[{'investment': 99958.55, 'shares': 1399, 'entry': True, 'exit': False, 'date': '19-03-2020', 'close': 71.45}, {'investment': 620358.0499999999, 'shares': 1399, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 443.4}]"
ADANI ENTERPRISES LTD,512599,4.4952312254548366,"[{'investment': 99816.0, 'shares': 480, 'entry': True, 'exit': False, 'date': '31-12-2019', 'close': 207.95}, {'investment': 548512.0, 'shares': 480, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1142.35}]"
NAVIN FLUORINE INTERNATIONAL LTD,532504,3.6655590522865644,"[{'investment': 99553.3, 'shares': 154, 'entry': True, 'exit': False, 'date': '02-11-2018', 'close': 646.45}, {'investment': 464471.80000000005, 'shares': 154, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 3013.15}]"
JB CHEMICALS  PHARMACEUTICALS LTD,506943,3.1574717726127415,"[{'investment': 99734.7, 'shares': 321, 'entry': True, 'exit': False, 'date': '15-02-2019', 'close': 310.7}, {'investment': 414644.2, 'shares': 321, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1290.9}]"
JSW STEEL LTD,500228,3.14496057984232,"[{'investment': 99999.59999999999, 'shares': 668, 'entry': True, 'exit': False, 'date': '26-03-2020', 'close': 149.7}, {'investment': 414494.4, 'shares': 668, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 620.5}]"
PRISM JOHNSON LTD,500338,2.9436539706908236,"[{'investment': 99985.75, 'shares': 3053, 'entry': True, 'exit': False, 'date': '22-05-2020', 'close': 32.75}, {'investment': 394309.2, 'shares': 3053, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 129.15}]"
WELSPUN INDIA LTD,514162,2.583755931457601,"[{'investment': 99996.5, 'shares': 4651, 'entry': True, 'exit': False, 'date': '25-03-2020', 'close': 21.5}, {'investment': 358363.05, 'shares': 4651, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 77.05}]"
TUBE INVESTMENTS OF INDIA LTD,540762,2.287288778867973,"[{'investment': 99859.8, 'shares': 298, 'entry': True, 'exit': False, 'date': '24-04-2020', 'close': 335.1}, {'investment': 328268.0, 'shares': 298, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1101.1}]"
ADVANCED ENZYME TECHNOLOGIES LTD,540025,2.1307147662832797,"[{'investment': 99881.59999999999, 'shares': 832, 'entry': True, 'exit': False, 'date': '12-03-2020', 'close': 120.05}, {'investment': 312700.8, 'shares': 832, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 375.7}]"
GRANULES INDIA LTD,532482,2.016822237357568,"[{'investment': 99986.7, 'shares': 902, 'entry': True, 'exit': False, 'date': '08-03-2019', 'close': 110.85}, {'investment': 301642.1, 'shares': 902, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 334.4}]"
PHILLIPS CARBON BLACK LTD,506590,1.7929356006020432,"[{'investment': 99926.4, 'shares': 1344, 'entry': True, 'exit': False, 'date': '07-04-2020', 'close': 74.35}, {'investment': 279088.0, 'shares': 1344, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 207.6}]"
CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,511243,1.7928007928007923,"[{'investment': 99999.90000000001, 'shares': 518, 'entry': True, 'exit': False, 'date': '29-06-2020', 'close': 193.05}, {'investment': 279279.8, 'shares': 518, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 539.15}]"
GUJARAT NARMADA VALLEY FERTILIZERS  CHEMICALS LTD,500670,1.7469355037242296,"[{'investment': 99926.70000000001, 'shares': 893, 'entry': True, 'exit': False, 'date': '01-04-2020', 'close': 111.9}, {'investment': 274492.2, 'shares': 893, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 307.3}]"
ESCORTS LTD,500495,1.619034447370847,"[{'investment': 99781.2, 'shares': 216, 'entry': True, 'exit': False, 'date': '13-08-2019', 'close': 461.95}, {'investment': 261330.39999999997, 'shares': 216, 'entry': False, 'exit': True, 'date': '20-04-2021', 'close': 1208.85}]"
