SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
500002,ABB LTD.    ,A ,Q,1775.65,1775.65,1732.0,1739.75,1749.6,1762.8,734,4016,7001338.0,,2021-07-19
500003,AEGIS LOGIS ,A ,Q,320.4,324.25,316.65,319.75,320.0,320.7,2876,90123,28913663.0,,2021-07-19
500008,AMAR RAJA BA,A ,Q,727.9,729.15,721.25,722.75,722.75,727.9,10589,134583,97550044.0,,2021-07-19
500009,A.SARABHAI  ,X ,Q,31.75,32.5,31.2,31.85,31.85,31.75,1349,229956,7314415.0,,2021-07-19
500010,HDFC        ,A ,Q,2485.05,2498.2,2471.0,2482.35,2482.35,2536.95,10904,812084,2055353441.0,,2021-07-19
500012,ANDHRA PETRO,X ,Q,154.0,156.0,146.85,149.0,149.0,154.55,5053,661789,98927212.0,,2021-07-19
500013,ANSAL INFRAS,T ,Q,9.6,9.75,9.28,9.31,9.31,9.76,142,57651,539621.0,,2021-07-19
500014,UTIQUE      ,X ,Q,4.69,4.79,4.35,4.35,4.35,4.57,230,71304,323519.0,,2021-07-19
500016,ARUNAHTEL   ,XT,Q,24.81,24.83,24.81,24.83,24.83,23.65,114,35650,885177.0,,2021-07-19
500020,BOM DYEING  ,A ,Q,100.05,108.0,99.1,106.1,106.1,102.45,16647,2568237,270274156.0,,2021-07-19
500023,ASIANHOTNR  ,B ,Q,85.7,88.2,84.3,87.05,87.05,87.35,204,10359,898005.0,,2021-07-19
500027,ATUL LTD.   ,A ,Q,9250.0,9300.0,9133.6,9262.2,9266.9,9305.0,470,1075,9954073.0,,2021-07-19
500028,ATV PROJECTS,XT,Q,11.3,12.25,11.3,11.35,11.35,11.89,151,71049,806389.0,,2021-07-19
500029,AUTOLITE(I) ,Z ,Q,17.55,17.55,16.8,16.9,16.9,17.55,24,7456,126730.0,,2021-07-19
500031,BAJAJ ELECT.,A ,Q,1025.1,1040.0,1025.1,1037.8,1040.0,1032.3,579,2967,3068031.0,,2021-07-19
500032,BAJAJHIND   ,T ,Q,18.25,20.15,18.25,20.15,20.15,19.2,10204,6958265,133997149.0,,2021-07-19
500033,FORCE MOTR  ,A ,Q,1542.0,1586.75,1517.6,1559.2,1559.2,1541.35,3426,42789,66224431.0,,2021-07-19
500034,BAJFINANCE  ,A ,Q,6100.0,6123.85,5937.0,6012.75,6012.75,6126.8,11353,181853,1108734591.0,,2021-07-19
500038,BALRAM.CHINI,A ,Q,345.35,354.3,340.25,344.15,344.15,345.35,2323,102272,35599086.0,,2021-07-19
500039,BANCO PROD. ,B ,Q,162.2,164.65,161.9,163.05,163.1,164.3,330,8041,1312551.0,,2021-07-19
500040,CENTURY TEXT,A ,Q,710.0,735.6,710.0,718.95,714.0,719.8,2314,46374,33471232.0,,2021-07-19
