DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-10-11,500002,3297,6035818,7979,14747460,41.32
2021-10-11,500003,916931,219192356,1132739,269103620,80.95
2021-10-11,500008,155980,120182590,230564,178253856,67.65
2021-10-11,500009,337793,11113390,416112,14136514,81.18
2021-10-11,500010,1631750,4440818689,1644935,4476867181,99.2
2021-10-11,500012,366453,54465590,366453,54465590,100.0
2021-10-11,500013,77777,862547,101620,1124980,76.54
2021-10-11,500014,63110,184913,91372,262510,69.07
2021-10-11,500016,25505,347378,25505,347378,100.0
2021-10-11,500020,216720,20718432,738999,70950526,29.33
2021-10-11,500023,1745,159842,3550,324672,49.15
2021-10-11,500027,1078,11651348,2470,26438434,43.64
2021-10-11,500028,13005,126928,13005,126928,100.0
2021-10-11,500031,5825,7213389,15673,19452852,37.17
2021-10-11,500032,1261138,19925981,2077883,33121355,60.69
2021-10-11,500033,7369,11183195,15543,23994077,47.41
2021-10-11,500034,275697,2133831805,310490,2407119528,88.79
2021-10-11,500038,22815,8504292,60765,22686181,37.55
2021-10-11,500039,13555,2702190,51722,10374790,26.21
2021-10-11,500040,11002,10378187,52397,50308245,21.0
2021-10-11,500041,119,270077,186,424233,63.98
2021-10-11,500042,1014,3533233,2602,9050498,38.97
2021-10-11,500043,6922,13621804,43008,85732430,16.09
2021-10-11,500048,23721,36864807,48549,75445430,48.86
2021-10-11,500049,1435586,289851031,1704647,344526022,84.22
2021-10-11,500052,100694,20652340,184823,38248074,54.48
2021-10-11,500055,298391,25730549,298391,25730549,100.0
2021-10-11,500058,65752,667408,65752,667408,100.0
2021-10-11,500060,24773,2235638,24773,2235638,100.0
2021-10-11,500067,3579,3230764,14509,13164354,24.67
2021-10-11,500068,87,475734,98,539897,88.78
2021-10-11,500069,1801,546604,2161,653306,83.34
2021-10-11,500074,21116,3552767,21116,3552767,100.0
2021-10-11,500078,423,388484,1243,1145511,34.03
2021-10-11,500083,25856,241237,42205,395150,61.26
2021-10-11,500084,190916,17182440,349666,31716068,54.6
2021-10-11,500085,85126,34437724,264048,108618585,32.24
2021-10-11,500086,211738,39605593,532285,100369378,39.78
2021-10-11,500087,493663,452550820,550637,504982445,89.65
2021-10-11,500089,106,48803,116,53956,91.38
2021-10-11,500092,2302,6894951,4206,12450562,54.73
2021-10-11,500093,436088,52044499,436088,52044499,100.0
2021-10-11,500096,587338,356596873,635494,385910742,92.42
2021-10-11,500097,3063,1388458,7686,3540666,39.85
2021-10-11,500101,210251,22665058,363749,39121487,57.8
2021-10-11,500102,2856689,3693944,2856689,3693944,100.0
2021-10-11,500103,3482242,232265542,8067752,537901830,43.16
2021-10-11,500104,662724,210849990,760128,242413752,87.19
2021-10-11,500106,676486,8970205,1625882,21800326,41.61
2021-10-11,500108,240745,4646379,532731,10387753,45.19
2021-10-11,500109,221258,11250970,323684,16581652,68.36
2021-10-11,500110,41796,5657089,82466,11265913,50.68
2021-10-11,500111,671247,16613364,1921591,47511672,34.93
2021-10-11,500112,1956385,899658898,2624845,1211121530,74.53
2021-10-11,500113,931594,108623861,1976185,231320129,47.14
2021-10-11,500114,335524,791267356,355857,839751469,94.29
2021-10-11,500116,695482,33626555,2818875,136920451,24.67
2021-10-11,500117,612140,31770066,1117051,60146850,54.8
2021-10-11,500119,36007,11387214,71897,22912617,50.08
2021-10-11,500120,7408,2198324,8929,2693871,82.97
2021-10-11,500123,1023,3801162,1686,6184578,60.68
2021-10-11,500124,124088,602496693,222726,1082417357,55.71
2021-10-11,500125,8715,3805841,14866,6489134,58.62
2021-10-11,500126,1095,6242322,1867,10705852,58.65
2021-10-11,500128,9548,349935,20706,762786,46.11
2021-10-11,500133,110,246153,282,627901,39.01
2021-10-11,500135,8614,2083727,14131,3416203,60.96
2021-10-11,500136,30815,4497450,42762,6256494,72.06
2021-10-11,500142,65,150,65,150,100.0
2021-10-11,500143,4487,300120,4487,300120,100.0
2021-10-11,500144,3227,1622536,11269,5668213,28.64
2021-10-11,500147,1675,1575087,1729,1641943,96.88
2021-10-11,500148,92980,59558339,228406,147668466,40.71
2021-10-11,500150,784,1174236,2251,3389557,34.83
2021-10-11,500151,5241,813142,5241,813141,100.0
2021-10-11,500153,39426,3605508,70240,6279312,56.13
2021-10-11,500159,3351,281484,3433,289640,97.61
2021-10-11,500160,75041,1137482,75041,1137482,100.0
2021-10-11,500163,3273,4149346,5416,6852780,60.43
2021-10-11,500164,3909,2259793,17436,10156240,22.42
2021-10-11,500165,11496,6968876,23140,14348773,49.68
2021-10-11,500166,26653,7139007,33285,8808580,80.08
2021-10-11,500168,5336,5687376,11965,12762579,44.6
2021-10-11,500170,7208,143729,7208,143729,100.0
2021-10-11,500171,18643,8177752,34869,15535237,53.47
2021-10-11,500173,19900,1652695,46800,3906445,42.52
2021-10-11,500174,5609,17444,5609,18793,100.0
2021-10-11,500179,174557,2445544,272322,3861979,64.1
2021-10-11,500180,77940,127381239,144074,235114992,54.1
2021-10-11,500182,131107,372930429,144436,411228296,90.77
2021-10-11,500183,1121121,88232223,1995849,159938887,56.17
2021-10-11,500184,277237,14180673,701772,36280478,39.51
2021-10-11,500185,1441164,15218692,2478594,26680357,58.14
2021-10-11,500186,39331,8145451,86787,17834631,45.32
2021-10-11,500187,7842,1785232,18297,4184315,42.86
2021-10-11,500188,48190,15206355,83417,26428132,57.77
2021-10-11,500189,2457,1240294,2963,1405223,82.92
2021-10-11,500191,18763,593261,18763,593261,100.0
2021-10-11,500192,3456,8962,3456,8962,100.0
2021-10-11,500193,532260,6812928,953360,12162226,55.83
2021-10-11,500199,3611,3291788,5519,5091822,65.43
2021-10-11,500201,8528,7973680,17212,16230871,49.55
2021-10-11,500202,2161,15776,2161,15996,100.0
2021-10-11,500206,4292,114808,4292,114808,100.0
