company,code,average_return_percent,simulation_result
ADANI TOTAL GAS LTD,542066,6.857375086585548,"[{'investment': 99901.2, 'shares': 588, 'entry': True, 'exit': False, 'date': '31-08-2020', 'close': 169.9}, {'investment': 784961.2000000001, 'shares': 588, 'entry': False, 'exit': True, 'date': '20-05-2021', 'close': 1334.8}]"
HINDUSTAN COPPER LTD,513599,4.216696785110321,"[{'investment': 99994.1, 'shares': 3466, 'entry': True, 'exit': False, 'date': '16-06-2020', 'close': 28.85}, {'investment': 521638.9, 'shares': 3466, 'entry': False, 'exit': True, 'date': '02-03-2021', 'close': 150.5}]"
GATEWAY DISTRIPARKS LTD,532622,3.003665224184878,"[{'investment': 99966.59999999999, 'shares': 1332, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 75.05}, {'investment': 400232.8, 'shares': 1332, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 300.45}]"
JSW STEEL LTD,500228,2.3028760584278736,"[{'investment': 99811.95, 'shares': 483, 'entry': True, 'exit': False, 'date': '20-07-2020', 'close': 206.65}, {'investment': 329666.5, 'shares': 483, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 682.15}]"
LUX INDUSTRIES LTD,539542,1.8529798806146394,"[{'investment': 99928.5, 'shares': 105, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 951.7}, {'investment': 285094.0, 'shares': 105, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 2714.5}]"
LINDE INDIA LTD,523457,1.7737742165743413,"[{'investment': 99467.0, 'shares': 170, 'entry': True, 'exit': False, 'date': '18-06-2020', 'close': 585.1}, {'investment': 275899.0, 'shares': 170, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1619.8}]"
TATA POWER CO LTD,500400,1.7144617452671673,"[{'investment': 99982.4, 'shares': 2528, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 39.55}, {'investment': 271398.4, 'shares': 2528, 'entry': False, 'exit': True, 'date': '24-05-2021', 'close': 107.35}]"
TATA METALIKS LTD,513434,1.528654464667591,"[{'investment': 99836.09999999999, 'shares': 234, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 426.65}, {'investment': 252451.00000000006, 'shares': 234, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 1078.15}]"
TRIDENT LTD,521064,1.5037344824899976,"[{'investment': 99999.13, 'shares': 14903, 'entry': True, 'exit': False, 'date': '28-08-2020', 'close': 6.71}, {'investment': 250371.27000000002, 'shares': 14903, 'entry': False, 'exit': True, 'date': '19-05-2021', 'close': 16.8}]"
MAHINDRA LIFESPACE DEVELOPERS LTD,532313,1.5027999549645341,"[{'investment': 99921.25, 'shares': 473, 'entry': True, 'exit': False, 'date': '19-06-2020', 'close': 211.25}, {'investment': 250082.89999999997, 'shares': 473, 'entry': False, 'exit': True, 'date': '03-03-2021', 'close': 528.55}]"
ORIENT CEMENT LTD,535754,1.4986144457783113,"[{'investment': 99960.0, 'shares': 1785, 'entry': True, 'exit': False, 'date': '03-06-2020', 'close': 56.0}, {'investment': 249761.5, 'shares': 1785, 'entry': False, 'exit': True, 'date': '26-05-2021', 'close': 139.9}]"
SHRIRAM TRANSPORT FINANCE CO LTD,511218,1.3918350591845572,"[{'investment': 99878.25, 'shares': 163, 'entry': True, 'exit': False, 'date': '04-06-2020', 'close': 612.75}, {'investment': 238892.3, 'shares': 163, 'entry': False, 'exit': True, 'date': '03-02-2021', 'close': 1464.85}]"
TEAMLEASE SERVICES LTD,539658,1.3488809235479018,"[{'investment': 98844.90000000001, 'shares': 66, 'entry': True, 'exit': False, 'date': '01-06-2020', 'close': 1497.65}, {'investment': 232174.90000000002, 'shares': 66, 'entry': False, 'exit': True, 'date': '08-02-2021', 'close': 3500.3}]"
